\fixlen = T
\RowsRetrieved = 9667
\ORIGIN = IPAC Infrared Science Archive (IRSA), Caltech/JPL
\SIMULATED_TABLE = n
\DATETIME = 2022-06-21 03:09:16
\DataTag = ADS/IRSA.Gator#2022/0621/030916_11866
\DATABASE = ZTF DR11 Objects (ztf_objects_dr11)
\EQUINOX = J2000
\SKYAREA = within 225 arcsec of  ra=5.07208 dec=+59.30389 Eq J2000 
\StatusFile = /workspace/TMP_wibCZC_6485/Gator/irsa/11866/log.11866.html
\SQL = 'WHERE (no constraints)
\SQL = SELECT (23 column names follow in next row.)
\ 
\ 
\ oid
\ ___ Unique object identifier
\ ra (deg)
\ ___ Object Right Ascension
\ dec (deg)
\ ___ Object Declination
\ field
\ ___ Field identifier
\ ccdid
\ ___ CCD identifier (1-16)
\ qid
\ ___ Quadrant (1-4)
\ filtercode
\ ___ Filter code (zg, zr, zi)
\ ngoodobs
\ ___ Number of epochal detections that were not flagged or masked due to bad pixels
\ ngoodobsrel
\ ___ Number of epochal detections in this release not associated with bad pixels
\ nobs
\ ___ Total number of epochal detections (observation epochs) in the lightcurve
\ nobsrel
\ ___ Total number of epochal detections that are in this release
\ refmag (mag)
\ ___ Object magnitude from reference image if detected (not transient)
\ refmagerr (mag)
\ ___ Error in refMag
\ astrometricrms (deg)
\ ___ Root Mean Squared deviation in epochal positions relative to object RA,Dec
\ chisq
\ ___ Chi-square metric using nobs detections
\ magrms (mag)
\ ___ Root Mean Squared deviation over nobs magnitudes
\ maxmag (mag)
\ ___ Maximum magnitude over nobs detections
\ medianabsdev (mag)
\ ___ Median absolute deviation in magnitudes over nobs detections
\ medianmag (mag)
\ ___ Median magnitude over nobs detections
\ medmagerr (mag)
\ ___ Median of magerr values over nobs detections
\ minmag (mag)
\ ___ Minimum magnitude over nobs detections
\ dist (arcsec)
\ ___ Distance between the target position and each source in arcsec.
\ angle (deg)
\ ___ Position Angle in degree.
\ 
\
|oid             |ra       |dec       |field|ccdid|qid |filtercode|ngoodobs|ngoodobsrel|nobs|nobsrel|refmag      |refmagerr   |astrometricrms|chisq       |magrms      |maxmag      |medianabsdev|medianmag   |medmagerr   |minmag      |dist      |angle     |
|long            |double   |double    |int  |int  |int |char      |int     |int        |int |int    |double      |double      |double        |double      |double      |double      |double      |double      |double      |double      |double    |double    |
|                |deg      |deg       |     |     |    |          |        |           |    |       |mag         |mag         |deg           |            |mag         |mag         |mag         |mag         |mag         |mag         |arcsec    |deg       |
|null            |null     |null      |null |null |null|null      |null    |null       |null|null   |null        |null        |null          |null        |null        |null        |null        |null        |null        |null        |null      |null      |
  806203100022159 4.9842041 59.3365898   806     3    1 zr              832         823  910     899 1.937200E+01 2.700000E-02   7.966951E-07 1.059602E+00 8.981529E-02 1.978415E+01 4.990959E-02 1.936867E+01 6.983373E-02 1.898089E+01 199.782083 306.140760 
  806103100019168 4.9796967 59.3331813   806     3    1 zg              336         328  416     406 1.966300E+01 2.900000E-02   9.730798E-07 1.016627E+00 9.952292E-02 2.011210E+01 5.536747E-02 1.970119E+01 8.074528E-02 1.936444E+01 199.796863 301.895259 
  806203100043402 5.1754777 59.3211126   806     3    1 zr              139         134  139     134 2.148500E+01 1.220000E-01   1.333561E-06 1.440667E+00 2.720511E-01 2.191927E+01 1.987686E-01 2.125572E+01 2.045541E-01 2.061490E+01 199.832237  71.880223 
 1809111300028176 5.0028510 59.3467144  1809    11    3 zg                0           0    0       0 2.286200E+01 3.030000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 199.833911 320.516726 
  806303100044572 5.1807168 59.3014156   806     3    1 zi                0           0    0       0 2.186600E+01 2.330000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 199.852523  92.507930 
  806203100043588 5.1800560 59.3106237   806     3    1 zr               41          40   42      41 2.173400E+01 1.410000E-01   1.958195E-06 1.529419E+00 3.020405E-01 2.196773E+01 2.225685E-01 2.143393E+01 2.157552E-01 2.066039E+01 199.887990  82.987913 
 1809211300007851 5.1807512 59.3014461  1809    11    3 zr                1           1    1       1 2.280500E+01 2.700000E-01   0.000000E+00 0.000000E+00         null 2.079699E+01 0.000000E+00 2.079699E+01 1.702240E-01 2.079699E+01 199.910729  92.475670 
 1809111300042546 5.1755739 59.3210470  1809    11    3 zg                0           0    0       0 2.257800E+01 2.130000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 199.927358  71.960253 
  806203400063547 5.0352542 59.2516310   806     3    4 zr                1           1    1       1 2.253500E+01 3.320000E-01   0.000000E+00 0.000000E+00         null 2.015888E+01 0.000000E+00 2.015888E+01 1.201486E-01 2.015888E+01 199.952322 199.814901 
 1809111300037317 5.1808815 59.3047716  1809    11    3 zg                0           0    0       0 2.331300E+01 3.610000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 199.971914  89.043841 
  806303400043768 5.0693192 59.2483544   806     3    4 zi               11           9   11       9 2.121700E+01 8.700000E-02   1.124705E-06 7.085525E-01 1.494933E-01 2.117357E+01 8.021164E-02 2.095024E+01 1.678376E-01 2.063262E+01 199.992632 181.456075 
  806203100043571 4.9637516 59.3092405   806     3    1 zr               24          24   26      26 2.194800E+01 1.510000E-01   1.486567E-06 1.189695E+00 2.933113E-01 2.215590E+01 1.761532E-01 2.154657E+01 2.195225E-01 2.100366E+01 199.993955 275.573407 
 1809211300007333 4.9637323 59.3092164  1809    11    3 zr                3           3    3       3 2.195200E+01 1.270000E-01   9.899675E-07 0.000000E+00 2.803692E-01 2.149991E+01 0.000000E+00 2.119401E+01 2.000737E-01 2.093997E+01 200.020990 275.547698 
  806203100060203 5.0027912 59.3467572   806     3    1 zr                1           1    1       1 2.232800E+01 2.730000E-01   0.000000E+00 0.000000E+00         null 2.211009E+01 0.000000E+00 2.211009E+01 2.668800E-01 2.211009E+01 200.022609 320.520580 
  806303100062021 4.9636800 59.3091919   806     3    1 zi               25          22   28      24 2.073200E+01 7.300000E-02   1.161022E-06 1.168397E+00 1.460267E-01 2.094316E+01 1.174679E-01 2.069885E+01 1.490571E-01 2.036789E+01 200.108293 275.519943 
  806303100062060 5.1801886 59.3106081   806     3    1 zi                4           4    6       5 2.133100E+01 1.420000E-01   1.518939E-06 1.464370E+00 2.332541E-01 2.130717E+01 1.695538E-01 2.113083E+01 1.716645E-01 2.084416E+01 200.123105  83.012278 
  806103100036091 5.1756844 59.3210607   806     3    1 zg                3           3    3       3 2.251100E+01 3.500000E-01   8.781655E-07 0.000000E+00 4.473398E-01 2.210444E+01 0.000000E+00 2.151320E+01 1.938151E-01 2.122731E+01 200.135647  71.964729 
 1809211300007439 5.1802081 59.3105894  1809    11    3 zr                0           0    1       1 2.186900E+01 1.030000E-01   0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.651825E-01 0.000000E+00 200.150606  83.032641 
 1809211300043503 5.0694500 59.2482940  1809    11    3 zr                2           2    2       2 2.209200E+01 1.900000E-01   1.016748E-06 0.000000E+00 3.586744E-01 2.144674E+01 0.000000E+00 2.119312E+01 2.000065E-01 2.093949E+01 200.204046 181.385613 
 1809211300075528 5.1810146 59.3045209  1809    11    3 zr                0           0    0       0 2.285700E+01 3.520000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 200.204949  89.303154 
 1809211300008607 5.1739604 59.2842342  1809    11    3 zr               50          50   50      50 2.062400E+01 3.800000E-02   1.351365E-06 1.094553E+00 1.668079E-01 2.089566E+01 1.132717E-01 2.057362E+01 1.534294E-01 2.022820E+01 200.206074 110.654074 
 1809211300054415 5.1809323 59.3063071  1809    11    3 zr                0           0    0       0 2.244400E+01 1.890000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 200.224738  87.462400 
 1809211300074789 4.9879934 59.2685351  1809    11    3 zr                1           1    1       1 2.298800E+01 2.600000E-01   0.000000E+00 0.000000E+00         null 2.103434E+01 0.000000E+00 2.103434E+01 1.880693E-01 2.103434E+01 200.259411 230.574342 
  806303100044385 4.9631485 59.3024319   806     3    1 zi                1           1    1       1 2.181700E+01 2.520000E-01   0.000000E+00 0.000000E+00         null 2.138307E+01 0.000000E+00 2.138307E+01 1.954286E-01 2.138307E+01 200.261322 268.544851 
 1809211300009915 5.0285566 59.2528686  1809    11    3 zr                3           3    3       3 2.198400E+01 1.630000E-01   1.441589E-06 0.000000E+00 2.483109E-01 2.136314E+01 0.000000E+00 2.095830E+01 1.823518E-01 2.091161E+01 200.360752 203.565864 
  806203100057003 5.1810722 59.3054204   806     3    1 zr               25          24   25      24 2.197900E+01 1.980000E-01   1.121699E-06 7.208990E-01 2.797610E-01 2.204942E+01 1.113472E-01 2.159078E+01 2.289965E-01 2.054360E+01 200.371029  88.377526 
  806103400046163 5.1452748 59.2626548   806     3    4 zg                0           0    0       0 2.258100E+01 3.210000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 200.380125 137.770314 
  806303100061979 4.9638233 59.3106669   806     3    1 zi                0           0    1       0 2.203000E+01 2.670000E-01   0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 2.190125E-01 0.000000E+00 200.418743 277.038461 
  806203400044349 5.0286123 59.2528309   806     3    4 zr               18          17   18      17 2.194700E+01 2.140000E-01   1.660508E-06 1.060575E+00 2.962916E-01 2.170309E+01 1.532850E-01 2.138069E+01 2.142804E-01 2.073557E+01 200.444318 203.523510 
 1809211300042858 5.1759370 59.2869029  1809    11    3 zr                0           0    0       0 2.223300E+01 1.490000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 200.465657 107.716970 
 1809111300028959 5.1741414 59.2842657  1809    11    3 zg                4           4    5       5 2.184000E+01 9.900000E-02   2.370172E-06 2.076192E+00 5.718163E-01 2.197885E+01 3.085537E-01 2.160807E+01 2.203369E-01 2.071979E+01 200.477290 110.590077 
 1809211300043330 5.1361746 59.2588433  1809    11    3 zr                0           0    0       0 2.257500E+01 1.880000E-01  6.926837E-310         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 200.477513 143.961939 
 1809111300028595 5.1803802 59.3107132  1809    11    3 zg                0           0    0       0 2.246800E+01 1.980000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 200.518298  82.917023 
 1809211300070361 5.1695090 59.2788242  1809    11    3 zr                0           0    0       0 2.255600E+01 2.810000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 200.561881 116.696683 
 1809211300042766 5.1784449 59.2914186  1809    11    3 zr                0           0    0       0 2.281000E+01 2.320000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 200.596235 102.887647 
  806303400087989 5.0283684 59.2528297   806     3    4 zi                7           4    7       4 2.122700E+01 1.160000E-01   1.590506E-06 5.462540E-01 9.807020E-02 2.118899E+01 6.627274E-02 2.112272E+01 1.798723E-01 2.096471E+01 200.627597 203.640596 
  806303100061034 5.1328065 59.3502191   806     3    1 zi               25          21   27      22 2.092600E+01 9.600000E-02   1.157041E-06 1.149321E+00 1.807006E-01 2.115060E+01 1.243668E-01 2.084938E+01 1.604306E-01 2.046496E+01 200.635740  33.743301 
 1809111300050171 5.0281848 59.2528648  1809    11    3 zg                0           0    0       0 2.297700E+01 2.310000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 200.647431 203.743464 
  806303400070094 5.0560748 59.2487545   806     3    4 zi                0           0    0       0 2.210700E+01 2.260000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 200.658817 188.442803 
 1809211300005452 5.0140393 59.3511184  1809    11    3 zr               16          16   16      16 2.133500E+01 5.300000E-02   1.559086E-06 1.071314E+00 1.882185E-01 2.154042E+01 1.406975E-01 2.112270E+01 1.947124E-01 2.091354E+01 200.671283 327.940641 
  806203400058926 5.1431007 59.2615664   806     3    4 zr                0           0    0       0 2.258500E+01 3.480000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 200.676835 139.368055 
 1809111300028123 5.1210971 59.3537221  1809    11    3 zg               11          11   11      11 2.135000E+01 1.150000E-01   1.698986E-06 1.350066E+00 3.890480E-01 2.161547E+01 1.746864E-01 2.110008E+01 1.918352E-01 2.033662E+01 200.712343  26.624943 
 1809211300054960 5.1431963 59.2615915  1809    11    3 zr                0           0    0       0 2.280900E+01 2.780000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 200.722697 139.313138 
  806303400070108 5.0718613 59.2481325   806     3    4 zi                0           0    0       0 2.240300E+01 3.580000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 200.727403 180.114911 
  806303100060973 5.0139173 59.3511020   806     3    1 zi               25          21   28      23 2.074300E+01 1.020000E-01   1.239494E-06 5.117241E-01 1.005512E-01 2.085578E+01 5.069351E-02 2.065338E+01 1.468725E-01 2.048428E+01 200.740403 327.877554 
  806303400082581 5.0888019 59.2487867   806     3    4 zi                0           0    0       0 2.159500E+01 1.340000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 200.741876 171.179872 
 1809111300048029 5.1563148 59.2684081  1809    11    3 zg                0           0    0       0 2.288900E+01 2.410000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 200.760674 129.476854 
  806203100022236 5.1606528 59.3365668   806     3    1 zr              371         367  375     371 2.080500E+01 6.000000E-02   1.231081E-06 1.130201E+00 2.120792E-01 2.138819E+01 1.297436E-01 2.079007E+01 1.701980E-01 2.013712E+01 200.769293  54.093302 
 1809111300028099 5.0224950 59.3535953  1809    11    3 zg               51          51   53      53 2.007100E+01 3.000000E-02   7.969359E-07 9.442230E-01 1.291059E-01 2.036929E+01 7.287025E-02 2.006799E+01 1.144194E-01 1.971465E+01 200.775352 333.050830 
  806303100091468 5.1760799 59.2868475   806     3    1 zi                0           0    0       0 2.161400E+01 1.560000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 200.776834 107.748229 
  806203100021627 5.0139636 59.3511340   806     3    1 zr              175         172  176     173 2.127800E+01 1.220000E-01   1.469241E-06 1.047854E+00 2.722023E-01 2.187004E+01 1.430740E-01 2.122698E+01 2.024342E-01 1.997631E+01 200.792715 327.915581 
 1809211300066520 5.1640484 59.3340461  1809    11    3 zr               59          59   66      66 1.668200E+01 2.200000E-02   1.052655E-06 1.548542E+00 1.332374E-01 1.673200E+01 1.518822E-02 1.668217E+01 1.454145E-02 1.614711E+01 200.813934  57.235310 
  806203100056801 5.1640484 59.3340478   806     3    1 zr              672         664  919     909 1.669700E+01 2.100000E-02   1.785682E-06 1.459747E+00 1.906312E-01 1.679501E+01 1.618290E-02 1.668889E+01 1.643625E-02 1.598539E+01 200.817239  57.233841 
  806203400044205 5.1540052 59.2669995   806     3    4 zr              437         432  698     691 1.612200E+01 1.500000E-02   2.453357E-07 1.056733E+00 1.733150E-02 1.620291E+01 9.799957E-03 1.611919E+01 1.374937E-02 1.605574E+01 200.822163 131.364665 
 1809211300008895 5.1677907 59.2770030  1809    11    3 zr                6           6    6       6 2.152700E+01 1.080000E-01   1.371917E-06 3.858269E-01 9.918428E-02 2.112789E+01 4.760933E-02 2.096620E+01 1.829463E-01 2.083416E+01 200.826531 118.773263 
  806303100081974 5.1640622 59.3340432   806     3    1 zi               44          40   49      44 1.602400E+01 3.000000E-02   2.540147E-07 2.332066E+00 5.950286E-02 1.605138E+01 1.823616E-02 1.600368E+01 1.159355E-02 1.583848E+01 200.829623  57.241721 
  806303100061361 5.1607349 59.3365403   806     3    1 zi               40          36   44      39 2.010100E+01 5.400000E-02   6.497779E-07 8.622415E-01 1.573599E-01 2.058796E+01 6.239605E-02 2.014426E+01 1.072882E-01 1.983875E+01 200.835723  54.140541 
  806103400048452 5.0979650 59.2496920   806     3    4 zg               53          51   63      61 2.048100E+01 8.400000E-02   2.204369E-06 4.710260E+00 5.345798E-01 2.120296E+01 2.836151E-01 1.982095E+01 8.927061E-02 1.861390E+01 200.837038 166.276531 
  806103400020599 5.1540021 59.2669894   806     3    4 zg              171         164  203     196 1.703300E+01 1.400000E-02   2.281539E-07 1.206750E+00 2.676351E-02 1.711800E+01 1.804924E-02 1.706178E+01 2.217510E-02 1.697982E+01 200.841952 131.373519 
  806103100018663 5.1212120 59.3537335   806     3    1 zg               71          70   81      80 2.136800E+01 7.600000E-02   2.183248E-06 1.028597E+00 2.211846E-01 2.165672E+01 1.252174E-01 2.129507E+01 1.804860E-01 2.064788E+01 200.843719  26.673440 
 1809211300006235 5.1607361 59.3365440  1809    11    3 zr               36          36   36      36 2.086100E+01 6.500000E-02   1.407232E-06 1.285641E+00 1.927087E-01 2.121007E+01 1.480761E-01 2.080413E+01 1.707611E-01 2.036504E+01 200.845299  54.137826 
  806303100072784 5.0224903 59.3536181   806     3    1 zi               44          40   49      44 1.834700E+01 2.300000E-02   2.737932E-07 1.064797E+00 3.314965E-02 1.844374E+01 2.138805E-02 1.834578E+01 2.978026E-02 1.829392E+01 200.852408 333.059265 
 1809211300061546 5.0225048 59.3536248  1809    11    3 zr               77          77   85      85 1.888900E+01 2.200000E-02   3.138758E-07 1.451114E+00 7.223443E-02 1.899227E+01 4.517365E-02 1.887322E+01 4.615382E-02 1.862756E+01 200.861832 333.069150 
 1809111300006093 5.1540100 59.2669839  1809    11    3 zg               66          66   70      70 1.704200E+01 1.800000E-02   3.283446E-07 7.179740E-01 2.383893E-02 1.714388E+01 1.009178E-02 1.703959E+01 2.083930E-02 1.696528E+01 200.865952 131.375008 
  806303400069794 5.1540123 59.2669819   806     3    4 zi               34          29   37      32 1.573600E+01 2.500000E-02   9.880308E-08 1.477971E+00 1.316951E-02 1.574651E+01 1.094341E-02 1.572691E+01 1.097768E-02 1.568928E+01 200.873890 131.375749 
 1809211300009380 5.1540187 59.2669841  1809    11    3 zr               77          77   86      86 1.610300E+01 1.700000E-02   1.219780E-07 9.820155E-01 1.364884E-02 1.615077E+01 8.281708E-03 1.610924E+01 1.250333E-02 1.607274E+01 200.877474 131.371833 
  806203100042780 5.0225002 59.3536329   806     3    1 zr              858         849  993     982 1.890400E+01 2.600000E-02   5.899809E-07 1.191877E+00 9.043451E-02 1.910299E+01 4.010582E-02 1.888684E+01 4.988842E-02 1.838235E+01 200.891649 333.070777 
  806303100041757 5.1211506 59.3537674   806     3    1 zi               43          39   47      42 1.888500E+01 3.400000E-02   3.628902E-07 1.119254E+00 5.306540E-02 1.902338E+01 3.329849E-02 1.891930E+01 4.410825E-02 1.879519E+01 200.902138  26.629090 
  806203400030698 5.0231407 59.2539909   806     3    4 zr              123         120  132     129 2.101800E+01 9.500000E-02   1.385258E-06 1.083505E+00 2.357943E-01 2.126327E+01 1.273079E-01 2.084636E+01 1.742001E-01 1.961050E+01 200.923018 206.633403 
  806103100040024 5.0224262 59.3536291   806     3    1 zg              297         289  353     344 2.012700E+01 3.800000E-02   1.125787E-06 1.026100E+00 1.267716E-01 2.041587E+01 7.239342E-02 2.011160E+01 1.046005E-01 1.968771E+01 200.941087 333.034499 
  806203100065893 5.1211291 59.3537889   806     3    1 zr              712         703  759     748 1.971500E+01 4.900000E-02   1.028254E-06 1.097348E+00 1.171914E-01 2.006085E+01 6.590843E-02 1.971370E+01 8.904730E-02 1.914684E+01 200.953605  26.609132 
 1809211300043390 5.0231388 59.2539757  1809    11    3 zr               36          36   36      36 2.093100E+01 4.300000E-02   1.369896E-06 7.807788E-01 1.590222E-01 2.116522E+01 9.087753E-02 2.082813E+01 1.725649E-01 2.056689E+01 200.973516 206.627311 
  806103100040031 5.0135141 59.3510493   806     3    1 zg                3           3    3       3 2.258600E+01 3.290000E-01   1.742645E-06 0.000000E+00 7.199463E-02 2.212431E+01 0.000000E+00 2.201719E+01 2.246122E-01 2.198743E+01 200.975134 327.670195 
  806303100088320 4.9708346 59.3250328   806     3    1 zi                0           0    0       0 2.252700E+01 2.640000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 200.975933 292.298091 
  806303100062178 5.1813978 59.3055028   806     3    1 zi                7           7   10       9 2.114600E+01 9.400000E-02   1.153868E-06 1.099852E+00 2.368553E-01 2.128031E+01 1.264267E-01 2.098544E+01 1.704232E-01 2.057682E+01 200.977267  88.297538 
 1809211300073294 5.1211699 59.3537877  1809    11    3 zr               65          65   70      70 1.968500E+01 5.200000E-02   7.789115E-07 1.193034E+00 9.864213E-02 1.988161E+01 6.740570E-02 1.969807E+01 8.376598E-02 1.943628E+01 200.983340  26.628761 
  806303400069772 5.1564651 59.2683890   806     3    4 zi               21          17   22      18 2.068600E+01 7.500000E-02   9.583946E-07 8.990419E-01 1.615807E-01 2.096101E+01 9.464455E-02 2.078587E+01 1.560773E-01 2.037295E+01 201.017697 129.441784 
  806303400086317 5.0231548 59.2539576   806     3    4 zi               32          28   34      30 2.024000E+01 4.400000E-02   7.522106E-07 1.242217E+00 1.039772E-01 2.041501E+01 9.234905E-02 2.019105E+01 1.102197E-01 2.003617E+01 201.018616 206.611494 
  806103100019133 5.1608847 59.3365400   806     3    1 zg               10          10   12      12 2.223300E+01 1.830000E-01   2.056345E-06 1.265372E+00 2.959789E-01 2.221749E+01 1.731653E-01 2.174745E+01 2.028928E-01 2.119261E+01 201.058270  54.186618 
 1809211300066404 5.0944447 59.3585647  1809    11    3 zr                0           0    0       0 2.278700E+01 3.250000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 201.067569  11.775839 
 1809111300006426 5.0232590 59.2539102  1809    11    3 zg                2           2    2       2 2.228200E+01 1.200000E-01   5.616463E-07 0.000000E+00 6.773383E-01 2.180528E+01 0.000000E+00 2.132633E+01 2.079577E-01 2.084738E+01 201.085611 206.540874 
 1809211300041773 5.0071398 59.3488633  1809    11    3 zr                0           0    0       0 2.313700E+01 3.400000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 201.089279 323.651145 
 1809111300004025 5.1608263 59.3366017  1809    11    3 zg                0           0    1       1 2.243800E+01 2.180000E-01   0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 2.254426E-01 0.000000E+00 201.101118  54.117407 
 1809211300007615 5.1814720 59.3054872  1809    11    3 zr                2           2    2       2 2.189000E+01 1.000000E-01   2.355839E-06 0.000000E+00 8.907079E-02 2.094711E+01 0.000000E+00 2.088413E+01 1.767753E-01 2.082115E+01 201.112000  88.314622 
 1809111300028132 5.0136189 59.3511316  1809    11    3 zg                1           1    1       1 2.262700E+01 2.810000E-01   0.000000E+00 0.000000E+00         null 2.225429E+01 0.000000E+00 2.225429E+01 2.740860E-01 2.225429E+01 201.122605 327.761667 
  806203100064670 4.9656222 59.2909425   806     3    1 zr               64          62   65      63 2.133400E+01 1.400000E-01   1.861703E-06 1.395636E+00 2.609513E-01 2.139752E+01 1.720133E-01 2.095967E+01 1.827316E-01 1.984019E+01 201.154230 256.647551 
  806303400089513 5.1432146 59.2614328   806     3    4 zi                6           4    6       4 2.158400E+01 2.110000E-01   5.705644E-07 4.578464E-01 1.258973E-01 2.123062E+01 5.558205E-02 2.112435E+01 1.799860E-01 2.086789E+01 201.178540 139.411804 
 1809211300070412 5.1565233 59.2683491  1809    11    3 zr                1           1    1       1 2.189700E+01 1.420000E-01   0.000000E+00 0.000000E+00         null 2.136831E+01 0.000000E+00 2.136831E+01 2.131783E-01 2.136831E+01 201.191695 129.453941 
 1809111300050034 4.9629921 59.2991711  1809    11    3 zg                0           0    0       0 2.309300E+01 2.410000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 201.207989 265.203640 
  806203400000260 5.1206923 59.2538117   806     3    4 zr              565         556  728     717 1.863800E+01 1.900000E-02   5.802309E-07 1.151071E+00 5.621605E-02 1.889191E+01 3.223610E-02 1.864537E+01 4.152067E-02 1.836286E+01 201.232204 153.602047 
  806303100088719 5.1785121 59.2907755   806     3    1 zi                4           2    6       3 2.158700E+01 1.820000E-01   1.143692E-06 6.155115E-01 1.334727E-01 2.147985E+01 7.952404E-02 2.133698E+01 1.915518E-01 2.115565E+01 201.248933 103.522049 
  806303100041556 5.0352629 59.3565547   806     3    1 zi               44          40   49      44 1.801700E+01 2.100000E-02   1.597659E-07 1.072439E+00 2.968930E-02 1.809402E+01 1.758099E-02 1.802125E+01 2.430493E-02 1.796738E+01 201.286656 340.389814 
  806103400020722 5.1207024 59.2537966   806     3    4 zg              244         235  268     259 1.984000E+01 4.000000E-02   1.088174E-06 1.109802E+00 1.142166E-01 2.027430E+01 6.609344E-02 1.982968E+01 8.829518E-02 1.944030E+01 201.289166 153.604176 
  806103100018564 5.0352737 59.3565630   806     3    1 zg              291         283  351     342 2.008000E+01 3.700000E-02   1.031963E-06 1.098255E+00 1.357891E-01 2.055630E+01 7.738876E-02 2.010386E+01 1.044717E-01 1.938696E+01 201.308138 340.397984 
 1809111300006472 5.1207216 59.2537950  1809    11    3 zg               60          60   62      62 1.979600E+01 2.500000E-02   9.709300E-07 8.912543E-01 1.342835E-01 2.007057E+01 5.621147E-02 1.977037E+01 9.350768E-02 1.924275E+01 201.310016 153.595891 
 1809211300005209 5.0352768 59.3565663  1809    11    3 zr               77          77   86      86 1.860800E+01 2.100000E-02   2.995210E-07 8.773573E-01 4.271847E-02 1.870508E+01 2.280426E-02 1.861318E+01 3.853572E-02 1.848939E+01 201.317417 340.400645 
 1809211300009940 5.1207171 59.2537910  1809    11    3 zr               76          76   84      84 1.861300E+01 2.400000E-02   2.463193E-07 8.848327E-01 4.214365E-02 1.871451E+01 2.309608E-02 1.862216E+01 3.869913E-02 1.849918E+01 201.319241 153.599823 
 1809211300073406 4.9626575 59.3012282  1809    11    3 zr                0           0    0       0 2.278900E+01 2.880000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 201.326602 267.318926 
 1809111300003361 5.0352709 59.3565727  1809    11    3 zg               51          51   53      53 2.011400E+01 3.200000E-02   9.210771E-07 9.872214E-01 1.673715E-01 2.041877E+01 7.839775E-02 2.011620E+01 1.177370E-01 1.967844E+01 201.342754 340.399946 
  806303400082421 5.1456797 59.2624810   806     3    4 zi                0           0    0       0 2.235500E+01 2.480000E-01  4.900000E-324         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 201.344034 137.732699 
  806303100088355 5.1746160 59.3236538   806     3    1 zi                0           0    0       0 2.227900E+01 2.570000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 201.368738  69.264771 
 1809211300009575 5.1456306 59.2624473  1809    11    3 zr                0           0    0       0 2.218700E+01 1.230000E-01   0.000000E+00         null 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00         null 0.000000E+00 201.373267 137.774929 
