oid,ra,dec,field,ccdid,qid,filtercode,ngoodobs,ngoodobsrel,nobs,nobsrel,refmag,refmagerr,astrometricrms,chisq,magrms,maxmag,medianabsdev,medianmag,medmagerr,minmag,dist,angle,GroupID,GroupSize
806203100043927,5.108987,59.2906071,806,3,1,zr,501,495,522,515,19.739,0.087,2.123467E-6,1.572943,0.1725184,20.20784,0.09550858,19.7294,0.09002297,19.11208,82.998287,125.163475,469,4
1809211300074780,5.0706494,59.2808413,1809,11,3,zr,3,3,3,3,21.669,0.113,2.305777E-6,0.0,0.163038,21.28269,0.0,21.04235,0.1886712,20.97168,83.016989,181.816042,,
1809111300053158,5.1089714,59.2905836,1809,11,3,zg,24,24,25,25,20.688,0.088,2.242882E-6,0.6243497,0.1339177,20.89457,0.06747818,20.6698,0.1602358,20.34481,83.023654,125.222593,469,4
806203100066416,5.1113043,59.2924513,806,3,1,zr,317,312,324,319,20.156,0.104,1.517686E-6,1.50682,0.2033986,20.92637,0.1293736,20.23989,0.1272941,19.62887,83.02783,119.716874,473,5
806303100093043,5.0351525,59.3171848,806,3,1,zi,20,18,22,19,20.818,0.13,2.080029E-6,0.9763747,0.1692845,21.1403,0.0971899,20.67724,0.1475804,20.43496,83.032102,305.214941,474,3
1809211300076090,5.1112722,59.2924092,1809,11,3,zr,26,26,27,27,20.152,0.118,1.626789E-6,1.17992,0.1316496,20.31873,0.08708191,20.0675,0.1094206,19.84028,83.05196,119.827853,473,5
806203100056905,5.1091854,59.3170786,806,3,1,zr,45,44,45,44,21.509,0.127,1.975956E-6,0.9822969,0.1970929,21.92325,0.1451817,21.45547,0.2191255,21.12701,83.080426,55.130419,475,3
806303100094897,5.0533614,59.3249016,806,3,1,zi,9,9,10,10,20.795,0.105,2.22869E-6,1.231386,0.1906498,21.07028,0.1238441,20.70516,0.1491095,20.54796,83.092147,335.559852,466,5
1809111300042521,5.0530916,59.3248443,1809,11,3,zg,2,2,2,2,21.99,0.098,1.62453E-7,0.0,0.3338691,21.89353,0.0,21.65745,0.2315541,21.42137,83.111251,335.190022,466,5
1809111300053157,5.1113033,59.2923731,1809,11,3,zg,7,7,8,8,20.808,0.099,1.437947E-6,0.3601978,0.2258263,20.99432,0.03973961,20.69063,0.1635711,20.26123,83.166293,119.885887,473,5
1809211300073346,5.0531836,59.3248889,1809,11,3,zr,8,8,8,8,21.336,0.14,2.133441E-6,1.821348,0.3260636,21.43295,0.2256832,20.97635,0.183709,20.44728,83.186321,335.342079,466,5
1809111300052780,5.0353766,59.3174583,1809,11,3,zg,1,1,1,1,22.52,0.256,0.0,0.0,,21.5699,0.0,21.5699,0.2253155,21.5699,83.269473,305.931889,474,3
806203100051882,5.0531768,59.3249189,806,3,1,zr,115,115,116,116,21.185,0.134,2.565452E-6,1.160014,0.2767056,21.74686,0.1555824,21.17828,0.1988481,20.28576,83.289681,335.365287,466,5
1809211300066617,5.1093298,59.3170765,1809,11,3,zr,3,3,3,3,21.785,0.134,3.752239E-7,0.0,0.282072,21.51614,0.0,21.44126,0.2186635,20.99446,83.293981,55.238925,475,3
806303100088623,5.1159913,59.2981222,806,3,1,zi,4,3,4,3,21.316,0.127,1.029536E-6,1.262445,0.2076181,21.21516,0.1407871,20.9392,0.1653386,20.78922,83.332927,104.409533,,
806303100088418,5.1093048,59.317115,806,3,1,zi,33,30,37,33,20.375,0.048,8.755927E-7,1.434897,0.1496455,20.52438,0.1150627,20.29992,0.1188879,19.95096,83.335315,55.14262,475,3
